Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	1084
Anzahl Artikel in Train:	722
Anteil von Test an gesamten Artikeln:	0.6002
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	1565
Anzahl Sätze in Train:	1046
Anteil von Test an gesamten Sätzen:	0.5994
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	3333
Anzahl Interaktionen in Train:	2216
Anteil von Test an gesamten Interaktionen:	0.6006
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8948
0/1 Verhältnis in Train:	0.8956
Verhältnis des 0/1 Verhältnis von Test und Train:	0.9991
